Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
washed-silk-cami,Washed Silk Cami,<p>Sandwashed 19mm silk with adjustable straps and a bias cut that falls straight. Wears under knitwear or on its own.</p>,Jogger,Shirting,,TRUE,Colour,Olive,Size,XS,MUN-1036,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/washed-silk-cami-1.png,1,Washed Silk Cami,FALSE,active
washed-silk-cami,,,,,,,Colour,Olive,Size,S,MUN-1037,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/washed-silk-cami-2.png,2,Washed Silk Cami — alternate view,,
washed-silk-cami,,,,,,,Colour,Olive,Size,M,MUN-1038,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/washed-silk-cami-3.png,3,Washed Silk Cami — campaign,,
washed-silk-cami,,,,,,,Colour,Olive,Size,L,MUN-1039,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Olive,Size,XL,MUN-1040,400,shopify,0,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Almond,Size,XS,MUN-1041,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Almond,Size,S,MUN-1042,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Almond,Size,M,MUN-1043,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Almond,Size,L,MUN-1044,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Almond,Size,XL,MUN-1045,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Espresso,Size,XS,MUN-1046,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Espresso,Size,S,MUN-1047,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Espresso,Size,M,MUN-1048,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Espresso,Size,L,MUN-1049,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
washed-silk-cami,,,,,,,Colour,Espresso,Size,XL,MUN-1050,400,shopify,12,deny,manual,135.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,Pleated Wide Trouser,"<p>A single forward pleat in a soft wool-linen. Cut wide from the hip, finished with a turn-up and a covered waistband.</p>",Jogger,Trousers,,TRUE,Colour,Oat,Size,XS,MUN-1051,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/pleated-wide-trouser-1.png,1,Pleated Wide Trouser,FALSE,active
pleated-wide-trouser,,,,,,,Colour,Oat,Size,S,MUN-1052,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/pleated-wide-trouser-2.png,2,Pleated Wide Trouser — alternate view,,
pleated-wide-trouser,,,,,,,Colour,Oat,Size,M,MUN-1053,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/pleated-wide-trouser-3.png,3,Pleated Wide Trouser — campaign,,
pleated-wide-trouser,,,,,,,Colour,Oat,Size,L,MUN-1054,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Oat,Size,XL,MUN-1055,400,shopify,0,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Stone,Size,XS,MUN-1056,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Stone,Size,S,MUN-1057,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Stone,Size,M,MUN-1058,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Stone,Size,L,MUN-1059,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Stone,Size,XL,MUN-1060,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Ink,Size,XS,MUN-1061,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Ink,Size,S,MUN-1062,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Ink,Size,M,MUN-1063,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Ink,Size,L,MUN-1064,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
pleated-wide-trouser,,,,,,,Colour,Ink,Size,XL,MUN-1065,400,shopify,12,deny,manual,225.00,,TRUE,TRUE,,,,,
shawl-cardigan,Shawl Cardigan,<p>Chunky lambswool with a rolled shawl collar and horn buttons. The thing you put on at six and forget you are wearing.</p>,Jogger,Knitwear,new,TRUE,Colour,Oat,Size,XS,MUN-1066,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/shawl-cardigan-1.png,1,Shawl Cardigan,FALSE,active
shawl-cardigan,,,,,,,Colour,Oat,Size,S,MUN-1067,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/shawl-cardigan-2.png,2,Shawl Cardigan — alternate view,,
shawl-cardigan,,,,,,,Colour,Oat,Size,M,MUN-1068,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/shawl-cardigan-3.png,3,Shawl Cardigan — campaign,,
shawl-cardigan,,,,,,,Colour,Oat,Size,L,MUN-1069,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Oat,Size,XL,MUN-1070,400,shopify,0,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Clay,Size,XS,MUN-1071,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Clay,Size,S,MUN-1072,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Clay,Size,M,MUN-1073,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Clay,Size,L,MUN-1074,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
shawl-cardigan,,,,,,,Colour,Clay,Size,XL,MUN-1075,400,shopify,12,deny,manual,295.00,,TRUE,TRUE,,,,,
the-long-overcoat,The Long Overcoat,"<p>Double-faced 24oz melton, unlined through the body so it moves. Cut below the knee with a collar that stands when you turn it up.</p>",Jogger,Outerwear,badge:Icon,TRUE,Colour,Camel,Size,XS,MUN-1076,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-long-overcoat-1.png,1,The Long Overcoat,FALSE,active
the-long-overcoat,,,,,,,Colour,Camel,Size,S,MUN-1077,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-long-overcoat-2.png,2,The Long Overcoat — alternate view,,
the-long-overcoat,,,,,,,Colour,Camel,Size,M,MUN-1078,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-long-overcoat-3.png,3,The Long Overcoat — campaign,,
the-long-overcoat,,,,,,,Colour,Camel,Size,L,MUN-1079,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Camel,Size,XL,MUN-1080,400,shopify,0,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Espresso,Size,XS,MUN-1081,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Espresso,Size,S,MUN-1082,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Espresso,Size,M,MUN-1083,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Espresso,Size,L,MUN-1084,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Espresso,Size,XL,MUN-1085,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Ink,Size,XS,MUN-1086,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Ink,Size,S,MUN-1087,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Ink,Size,M,MUN-1088,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Ink,Size,L,MUN-1089,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-long-overcoat,,,,,,,Colour,Ink,Size,XL,MUN-1090,400,shopify,12,deny,manual,690.00,,TRUE,TRUE,,,,,
the-chore-jacket,The Chore Jacket,"<p>Washed cotton twill with three patch pockets, tacked at every stress point. It creases, and it should.</p>",Jogger,Outerwear,,TRUE,Colour,Sage,Size,XS,MUN-1091,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-chore-jacket-1.png,1,The Chore Jacket,FALSE,active
the-chore-jacket,,,,,,,Colour,Sage,Size,S,MUN-1092,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-chore-jacket-2.png,2,The Chore Jacket — alternate view,,
the-chore-jacket,,,,,,,Colour,Sage,Size,M,MUN-1093,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/the-chore-jacket-3.png,3,The Chore Jacket — campaign,,
the-chore-jacket,,,,,,,Colour,Sage,Size,L,MUN-1094,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sage,Size,XL,MUN-1095,400,shopify,0,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sand,Size,XS,MUN-1096,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sand,Size,S,MUN-1097,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sand,Size,M,MUN-1098,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sand,Size,L,MUN-1099,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Sand,Size,XL,MUN-1100,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Ink,Size,XS,MUN-1101,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Ink,Size,S,MUN-1102,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Ink,Size,M,MUN-1103,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Ink,Size,L,MUN-1104,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
the-chore-jacket,,,,,,,Colour,Ink,Size,XL,MUN-1105,400,shopify,12,deny,manual,265.00,,TRUE,TRUE,,,,,
cashmere-crew,Cashmere Crew,<p>Two-ply Cariaggi cashmere knitted in Scotland at a gauge heavy enough to wear on its own.</p>,Jogger,Knitwear,,TRUE,Colour,Almond,Size,XS,MUN-1106,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cashmere-crew-1.png,1,Cashmere Crew,FALSE,active
cashmere-crew,,,,,,,Colour,Almond,Size,S,MUN-1107,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cashmere-crew-2.png,2,Cashmere Crew — alternate view,,
cashmere-crew,,,,,,,Colour,Almond,Size,M,MUN-1108,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cashmere-crew-3.png,3,Cashmere Crew — campaign,,
cashmere-crew,,,,,,,Colour,Almond,Size,L,MUN-1109,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Almond,Size,XL,MUN-1110,400,shopify,0,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Clay,Size,XS,MUN-1111,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Clay,Size,S,MUN-1112,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Clay,Size,M,MUN-1113,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Clay,Size,L,MUN-1114,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Clay,Size,XL,MUN-1115,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Espresso,Size,XS,MUN-1116,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Espresso,Size,S,MUN-1117,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Espresso,Size,M,MUN-1118,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Espresso,Size,L,MUN-1119,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cashmere-crew,,,,,,,Colour,Espresso,Size,XL,MUN-1120,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
